PID,TrackName,CarName,EventDate,Lap,LapTime,Corr Speed kmh_Min,Corr Speed kmh_Max,Corr Speed kmh_Avg,Corr Speed kmh_Start,Corr Speed kmh_End,Corr Speed kmh_Std Dev,BRAKE _Min,BRAKE _Max,BRAKE _Avg,BRAKE _Start,BRAKE _End,BRAKE _Std Dev,Oversteer _Min,Oversteer _Max,Oversteer _Avg,Oversteer _Start,Oversteer _End,Oversteer _Std Dev,ROTY s_Min,ROTY s_Max,ROTY s_Avg,ROTY s_Start,ROTY s_End,ROTY s_Std Dev,THROTTLE _Min,THROTTLE _Max,THROTTLE _Avg,THROTTLE _Start,THROTTLE _End,THROTTLE _Std Dev,abs glat_Max,abs glat_Avg,abs glat_Start,abs glat_End,abs glat_Std Dev,abs glong_Min,abs glong_Max,abs glong_Avg,abs glong_Start,abs glong_End,abs glong_Std Dev,abs Steerangle_Min,abs Steerangle_Max,abs Steerangle_Avg,abs Steerangle_Start,abs Steerangle_End,abs Steerangle_Std Dev,lane deviation_Min,lane deviation_Max,lane deviation_Avg,lane deviation_Start,lane deviation_End,lane deviation_Std Dev,steering reversal rate per lap_Min,steering reversal rate per lap_Max,steering reversal rate per lap_Avg,steering reversal rate per lap_Start,steering reversal rate per lap_End,steering reversal rate per lap_Std Dev,steering reversal rate per sector_Min,steering reversal rate per sector_Max,steering reversal rate per sector_Avg,steering reversal rate per sector_Start,steering reversal rate per sector_End,steering reversal rate per sector_Std Dev,understeer_Min,understeer_Max,understeer_Avg,understeer_Start,understeer_End,understeer_Change,understeer_Std Dev,z,outlier,validlap,cluster,cluster_label,THROTTLE width_Avg,Throttle_duration_Avg,Throttle application speed_Avg,Throttle release application_Avg,Steer_Peakvalue_Avg,Steer_PeakTime_Avg,number of crossing_Avg,Cumulative angular travel_Avg,angular velosity_Avg,number of direction changed_Avg,steering angle_RMS,number of crossing,Brake_length_Avg,Brake_duration_Avg,Trail_braking_duration_Avg
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 2,88.514,58.8,230.6,145.4,193.3,193.7,39.7,0.0,100.0,15.0,0.0,0.0,31.0,-5.73,5.97,-1.25,-0.5,-0.3,1.35,-68.54,56.28,4.02,3.63,0.91,17.41,0.0,100.0,70.0,100.0,100.0,41.0,3.38,0.79,0.29,0.05,0.58,0.0,2.01,0.47,0.24,0.26,0.37,-0.0,135.53,27.16,6.8,3.63,28.11,0.0,1.0,0.26,0.0,0.0,0.44,0.0,23.12,11.04,0.0,16.18,7.0,0.0,3.97,0.46,0.12,0.0,0.7,0.0,5.73,1.29,0.5,0.3,-0.2,1.25,-0.891392789653217,0,1,1,Fast,231.375,4.627499999999998,6.250000000000003,180.5,69.61,39.17122222222223,41.0,3448.0,38.96045197740113,238.0,39.09003080677446,41.0,177.65335497835497,29.62000000000001,28.660000000000007
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 3,87.907,65.6,230.3,146.1,193.7,193.6,38.7,0.0,100.0,14.0,0.0,0.0,31.0,-5.97,1.43,-1.32,-0.3,-0.06,1.27,-43.74,59.76,4.08,0.91,0.04,17.24,0.0,100.0,71.0,100.0,100.0,41.0,2.72,0.8,0.05,0.03,0.57,0.0,2.15,0.47,0.26,0.26,0.38,-0.0,119.73,27.29,3.63,0.73,26.62,0.0,1.0,0.26,0.0,0.0,0.44,0.0,22.48,10.77,16.18,6.3,6.94,0.0,3.32,0.48,0.0,0.02,0.64,0.0,5.97,1.33,0.3,0.06,-0.24,1.25,-0.9318809676218364,0,1,1,Fast,297.3105590062111,5.945714285714282,7.143454084723962,231.57142857142858,69.24,38.40166666666667,34.0,3193.0,36.33674630261661,273.0,38.12861892781372,34.0,124.01446886446922,20.000000000000004,19.099999999999998
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 7,90.384,28.7,230.0,141.8,193.4,193.0,43.1,0.0,100.0,15.0,0.0,0.0,32.0,-5.52,17.47,-0.94,-0.27,-0.28,2.51,-51.75,53.85,3.97,1.63,1.74,17.74,0.0,100.0,71.0,100.0,100.0,41.0,2.53,0.79,0.11,0.13,0.58,0.0,2.02,0.47,0.25,0.25,0.36,-0.0,158.31,29.21,3.52,3.66,29.15,0.0,1.0,0.29,0.0,0.0,0.45,0.0,26.22,12.39,2.44,1.57,8.29,0.0,3.4,0.68,0.2,0.18,0.8,0.0,5.52,1.27,0.27,0.28,0.01,1.19,-0.766659852583499,0,1,1,Fast,290.2857142857143,5.805714285714283,7.142857142857145,223.71428571428572,80.40444444444444,39.972777777777786,27.0,3657.0,40.48040735001107,280.0,41.289066673729636,27.0,194.7567736185382,27.800000000000008,26.520000000000007
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 8,89.842,53.9,228.3,143.1,193.0,191.2,38.1,0.0,100.0,13.0,0.0,0.0,30.0,-6.13,2.27,-1.31,-0.28,-0.16,1.27,-54.5,49.92,3.99,1.74,0.72,17.18,0.0,100.0,66.0,100.0,100.0,42.0,2.34,0.78,0.13,0.07,0.58,0.0,1.91,0.45,0.25,0.24,0.37,-0.0,139.03,27.21,3.66,1.95,27.35,0.0,1.0,0.27,0.0,0.0,0.45,0.0,24.68,12.09,1.57,13.33,7.65,0.0,3.55,0.63,0.18,0.0,0.76,0.0,6.13,1.33,0.28,0.16,-0.12,1.24,-0.8028123937021018,0,1,1,Fast,211.01315789473685,4.219999999999999,6.250389748066851,182.0,68.27222222222223,39.18655555555555,37.0,3192.0,35.537742150968604,300.0,38.59315680782898,37.0,118.58690476190452,49.41999999999997,48.639999999999986
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 9,87.049,68.6,228.6,147.2,191.2,192.6,38.3,0.0,100.0,14.0,0.0,0.0,31.0,-5.23,6.31,-1.29,-0.16,-0.18,1.35,-49.17,57.57,4.11,0.72,0.86,17.48,0.0,100.0,70.0,100.0,100.0,40.0,2.69,0.82,0.07,0.03,0.58,0.0,2.04,0.46,0.24,0.26,0.37,-0.0,105.73,27.36,1.95,2.26,26.01,0.0,1.0,0.26,0.0,0.0,0.44,0.0,22.85,10.43,13.33,13.71,6.86,0.0,3.57,0.39,0.0,0.23,0.68,0.0,5.23,1.34,0.16,0.18,0.02,1.24,-0.9891113740420592,0,1,1,Fast,305.42857142857144,6.108571428571428,7.142857142857144,251.0,65.99666666666667,37.87122222222222,41.0,3624.0,41.64559871293955,288.0,37.76927986464541,41.0,153.3293233082709,16.920000000000005,15.840000000000003
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 10,88.144,65.0,229.4,145.3,192.6,193.5,38.5,0.0,100.0,14.0,0.0,0.0,31.0,-5.76,1.31,-1.29,-0.18,-0.07,1.24,-50.42,72.76,4.07,0.86,0.35,17.36,0.0,100.0,68.0,100.0,100.0,42.0,2.99,0.8,0.03,0.02,0.57,0.0,1.91,0.46,0.26,0.25,0.36,-0.0,126.93,26.93,2.26,0.94,26.46,0.0,1.0,0.24,0.0,0.0,0.43,0.0,21.37,10.23,13.71,20.51,6.53,0.0,3.6,0.44,0.23,0.15,0.64,0.0,5.76,1.3,0.18,0.07,-0.11,1.23,-0.9160725686456204,0,1,1,Fast,301.57142857142856,6.031428571428543,7.142857142857176,244.85714285714286,72.92666666666668,38.446666666666665,36.0,3182.0,36.129398410896705,274.0,37.77457780991558,36.0,118.43214285714271,18.59999999999999,17.979999999999983
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 11,87.196,66.9,230.1,146.9,193.5,192.5,39.1,0.0,100.0,14.0,0.0,0.0,32.0,-6.61,1.57,-1.3,-0.07,-0.14,1.23,-52.63,70.23,4.12,0.35,0.61,17.5,0.0,100.0,70.0,100.0,100.0,42.0,3.04,0.82,0.02,0.05,0.57,0.0,1.99,0.46,0.25,0.26,0.38,-0.0,140.68,27.26,0.94,1.71,26.25,0.0,1.0,0.22,0.0,0.0,0.41,0.0,20.51,8.98,20.51,3.83,5.74,0.0,3.23,0.35,0.15,0.2,0.6,0.0,6.61,1.32,0.07,0.14,0.07,1.21,-0.979306164550483,0,1,1,Fast,302.7142857142857,6.054285714285697,7.142857142857163,251.0,70.16111111111111,38.053777777777775,35.0,3041.0,34.889857732905,288.0,37.850827952457706,35.0,108.34509803921566,16.51999999999999,15.879999999999995
P135,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 12,87.26,62.4,229.3,147.1,192.5,192.8,39.4,0.0,100.0,14.0,0.0,0.0,31.0,-7.61,3.69,-1.32,-0.14,-0.11,1.41,-68.53,73.55,4.11,0.61,0.47,17.67,0.0,100.0,70.0,100.0,100.0,42.0,2.91,0.82,0.05,0.04,0.59,0.0,1.96,0.47,0.26,0.26,0.38,-0.0,151.32,27.54,1.71,1.07,28.94,0.0,1.0,0.25,0.0,0.0,0.43,0.0,21.55,10.27,3.83,12.93,6.47,0.0,3.85,0.41,0.2,0.0,0.68,0.0,7.61,1.35,0.14,0.11,-0.04,1.36,-0.9750372298058504,0,1,1,Fast,306.57142857142856,6.1314285714285495,7.142857142857168,251.42857142857142,74.49555555555555,38.0,45.0,3199.0,36.66895919303072,264.0,39.95609121430785,45.0,140.37500000000006,25.099999999999994,23.91999999999999
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 2,92.709,71.6,220.2,139.4,192.7,192.4,36.6,0.0,100.0,10.0,0.0,0.0,23.0,-9.21,9.65,-1.38,-0.81,-0.6,2.2,-64.55,58.67,3.87,5.32,3.6,17.46,0.0,100.0,59.0,100.0,100.0,42.0,2.86,0.73,0.4,0.31,0.59,0.0,1.8,0.4,0.25,0.26,0.36,-0.0,145.86,28.89,11.81,9.07,34.28,0.0,1.0,0.27,0.0,0.0,0.44,0.0,24.8,12.84,3.9,15.38,7.35,0.0,4.03,0.52,0.1,0.0,0.77,0.0,9.21,1.5,0.81,0.6,-0.21,1.97,-0.6115774575636627,0,1,1,Fast,363.57142857142856,7.271428571428568,7.142857142857146,268.2857142857143,82.49777777777778,41.25933333333333,34.0,3185.0,34.36555891238671,310.0,44.84169633079292,34.0,109.25,13.640000000000006,12.779999999999994
P134,"Laguna_Seca, Laguna_Seca",", McLaren 720S GT3","20/10/2024, ",Lap 3,95.922,60.5,220.1,135.2,192.4,192.3,39.1,0.0,100.0,9.0,0.0,0.0,23.0,-13.35,10.27,-1.73,-0.6,-0.71,2.57,-48.84,46.31,3.74,3.6,4.51,17.1,0.0,100.0,56.0,100.0,100.0,44.0,2.45,0.72,0.31,0.39,0.57,0.0,1.81,0.4,0.26,0.24,0.33,-0.0,180.27,32.74,9.07,10.36,38.86,0.0,1.0,0.3,0.0,0.0,0.46,0.0,28.6,14.53,15.38,8.58,8.3,0.0,4.0,0.66,0.0,0.47,0.76,0.0,13.35,1.79,0.6,0.71,0.11,2.49,-0.3972635929620572,0,1,1,Fast,352.0,7.0400000000000045,7.142857142857139,261.0,84.46555555555557,42.55033333333333,29.0,3033.0,31.633291614518146,293.0,50.83251433851962,29.0,108.82499999999999,7.319999999999995,6.3399999999999945
